"","variable","year","mean","sd","lower","upper"
"1","b_t",1996,16816.8831977692,9411.27112826626,8603.15104698061,32678.9853749108
"2","b_t",1997,15445.8516022897,11022.1644212014,6659.59550698009,32989.6702075861
"3","b_t",1998,11455.620398101,7521.61719337981,4860.20721911203,24616.1179196932
"4","b_t",1999,15311.2127824043,10277.8598112002,6721.91132619217,32869.3374854437
"5","b_t",2000,21829.2343979682,15244.388848659,8952.63367803983,46833.5243187292
"6","b_t",2001,13652.786312915,9803.82965337029,5461.96541464136,30269.3054271649
"7","b_t",2002,13695.1833850365,9385.15410941093,5743.74062032037,30466.4947334115
"8","b_t",2003,14840.8875229317,10019.123385233,6099.44583721138,32337.9090669676
"9","b_t",2004,13717.0246319296,9154.46964627941,5969.06482579341,28967.0793464451
"10","b_t",2005,18774.9304652936,12421.5143877851,8199.93278656798,40810.3034434976
"11","b_t",2006,20073.1572979708,13395.0137937038,8779.37736739181,43031.1381109501
"12","b_t",2007,16854.9982402077,11507.2680472576,7349.30670885719,35140.0478909555
"13","b_t",2008,15633.7902205703,11000.3990866403,6574.28827893136,33110.0776213253
"14","b_t",2009,17028.4017749657,11204.4431641773,7575.35079719575,36747.6289816017
"15","b_t",2010,16934.5814674827,11705.3757078002,7426.50806104527,36828.3974412142
"16","b_t",2011,16367.6509050551,10629.5968231146,7272.29227857056,35710.7518360295
"17","b_t",2012,17095.9877024765,11677.5953533463,7436.17811639613,36581.8369989992
"18","b_t",2013,16068.9440486324,10929.3986029312,7160.13692780963,34205.8589973125
"19","b_t",2014,10952.8030415917,6457.02714540073,5297.52585659286,22295.6512258335
"20","bmsy",1996,11743.6152804736,6123.72905911793,6402.55802594223,22920.0137855696
"21","ck",1996,0.113359044977041,0.0395814163169745,0.0492582623605087,0.176335774825092
"22","ck",1997,0.120789132956049,0.0421757695565282,0.0524868818597803,0.187893655548792
"23","ck",1998,0.0618002587983778,0.0215787083641256,0.0268542608351578,0.0961334538572579
"24","ck",1999,0.10683261634683,0.0373025925254747,0.0464223128003377,0.166183582297518
"25","ck",2000,0.224057315204842,0.0782337737035683,0.0973603299003323,0.348532578850481
"26","ck",2001,0.0920226436859679,0.0321314154601481,0.0399868887984112,0.143145914638793
"27","ck",2002,0.0887594293708626,0.0309920035643981,0.0385689140183257,0.138069818375006
"28","ck",2003,0.120939742847516,0.0422283577978705,0.0525523268496304,0.188127936914813
"29","ck",2004,0.0776142974023493,0.0271004737050676,0.0337259847694183,0.120732997289456
"30","ck",2005,0.159345265171447,0.0556383593401582,0.0692407992614059,0.247869685250152
"31","ck",2006,0.181886545594251,0.0635090661277231,0.0790357327423043,0.282933796364618
"32","ck",2007,0.161001973977577,0.0562168299949235,0.0699606941497571,0.250446780276382
"33","ck",2008,0.121642589007692,0.0424737695908013,0.0528577368022642,0.189221249956244
"34","ck",2009,0.148451149688711,0.0518344765497315,0.064506944995582,0.23092333310797
"35","ck",2010,0.162206853109308,0.056637535925662,0.0704842540685579,0.252321031204549
"36","ck",2011,0.145890781533782,0.0509404764469123,0.0633943801681303,0.226940549885614
"37","ck",2012,0.153120056324169,0.0534647120313429,0.0665357396809351,0.238186055454619
"38","ck",2013,0.170992430111515,0.0597051833372964,0.0743018784764804,0.265987444222437
"39","ck",2014,0.14247695732721,0.0497484763098201,0.0619109603981947,0.221630172255807
"40","crashed",1996,0,0,0,0
"41","delta",1996,100,0,100,100
"42","dep_t",1996,0.711283845835747,0.0700855897637966,0.602106230020004,0.82824897313838
