"","variable","year","mean","sd","lower","upper"
"1","b_t",1955,22204.7558969811,11228.0654042664,10824.1835515178,43887.4739824241
"2","b_t",1956,10382.9771912009,6004.0583547304,4360.55175976354,20974.394643422
"3","b_t",1957,15419.4964188216,8999.45641627336,6119.3814012637,32195.2435739064
"4","b_t",1958,23370.6503664908,13880.4894945674,9176.38174071273,49301.9583916599
"5","b_t",1959,25504.897996642,15237.5228221404,9931.05482452673,52989.4980171828
"6","b_t",1960,21767.8739177184,12803.7788587897,8792.7002975884,45469.8085500901
"7","b_t",1961,23294.4924958284,13295.2531565046,9339.5550097619,47054.2114166237
"8","b_t",1962,29029.7526814575,17066.3180117532,11546.1811987212,60057.24760808
"9","b_t",1963,27310.0510616348,16276.1263764899,11312.0958343964,55690.0977278071
"10","b_t",1964,30858.9916353123,18466.6136765416,12489.3424433253,63289.5234175233
"11","b_t",1965,30973.317027418,17600.4065980018,12857.6569378853,63082.3104381636
"12","b_t",1966,33681.3615808765,19199.9305381845,13905.527108317,70524.8902860742
"13","b_t",1967,39782.5100191317,24467.0998352734,16268.0373791677,83417.0577855762
"14","b_t",1968,32693.6448660664,19164.9399155165,13436.7917753039,68291.8426343384
"15","b_t",1969,34428.0658213359,21121.4951128373,13969.1379041734,70369.7819958965
"16","b_t",1970,33524.1910164203,19412.2716132273,13464.214435471,68796.1284410708
"17","b_t",1971,31689.7224663434,17999.0408916188,13066.9908832553,64637.096684384
"18","b_t",1972,33657.7577242888,19297.4444114323,13786.6772852963,68709.7017916791
"19","b_t",1973,44307.2452531424,25357.5419622395,18676.1767024717,89487.5136305394
"20","b_t",1974,49390.7542514632,27521.8279406172,20786.9134691784,101184.958222983
"21","b_t",1975,41317.3892013702,23244.8277741054,16813.2692558597,84206.465837127
"22","b_t",1976,37790.8385007881,21727.6616580124,15537.3558468766,77210.8573070928
"23","b_t",1977,41505.3632393578,23815.3083967956,16944.1055101191,84905.1546364696
"24","b_t",1978,41896.1946805246,24446.1336252221,17254.0005351452,86301.7025478431
"25","b_t",1979,37916.0729709851,21608.1806051864,15885.5436355012,75750.5714672733
"26","b_t",1980,40928.3182066933,24068.8185869794,16874.4734812432,83972.1330353566
"27","b_t",1981,42018.1856294397,24196.3384785179,17149.8436110815,85764.1658064373
"28","b_t",1982,42858.5602565465,24454.3518621337,17981.5884529672,88905.9749793995
"29","b_t",1983,40138.0675377332,23312.3531398182,16640.1744974529,82154.9675245612
"30","b_t",1984,39131.6302318178,22433.0942525873,16219.0560904517,81961.6066933366
"31","b_t",1985,39725.8296864028,22978.0547387188,16110.3042119394,81865.73039055
"32","b_t",1986,47389.2990541231,26641.0239984089,20091.2193134696,98717.8321377592
"33","b_t",1987,48972.0359257833,30818.5989147566,18739.0400183221,102237.276031319
"34","b_t",1988,20815.7991719195,12089.2831506275,8067.33007211861,43601.1847586282
"35","b_t",1989,24733.2235456414,14834.4886466373,9421.64716997802,51138.8902686345
"36","b_t",1990,24309.5958788367,13913.2848788898,9895.97572447193,50865.0258143331
"37","b_t",1991,25087.3791905843,14317.9171875763,9930.41908225782,52178.7783460204
"38","b_t",1992,25632.8846246754,15330.8299141087,10634.5460957092,54889.5550415633
"39","b_t",1993,24391.0991923789,14282.9281327852,9954.29898022399,50852.7225566824
"40","b_t",1994,25327.0951246473,14707.9634236436,10351.4697007818,52636.1958566557
"41","b_t",1995,22969.194010811,13571.7496784696,9235.12834083623,47070.5575626942
"42","b_t",1996,22355.1312120027,12980.8878803933,9255.46342187656,46659.9015683362
"43","b_t",1997,24276.8172692681,14382.4444841516,9508.4654821302,49477.6139809146
"44","b_t",1998,25714.1856853145,15343.5495944202,10419.355804271,53506.8135234297
"45","b_t",1999,25203.2410342029,14553.6133798875,10332.4582072585,51820.0669734658
"46","b_t",2000,30960.7786806788,17828.2943004741,12794.3790736417,64634.2726919404
"47","b_t",2001,33416.9149182668,19587.7617018725,13779.9383980129,67496.6721686097
"48","b_t",2002,33610.8358383077,19449.9841695674,13555.8576958236,68098.5634675963
"49","b_t",2003,33758.874561579,19250.4244662998,13837.7437087457,69403.6073106877
"50","b_t",2004,36691.3150745251,21467.7967284725,15090.0618961685,75930.0590850925
"51","b_t",2005,36254.6899573355,20679.2609659024,14880.0665599626,75043.9343360262
"52","b_t",2006,35511.4678065502,20115.8779139026,14273.1776852361,72224.6522956059
"53","b_t",2007,30964.2073995921,18005.6960571598,12836.7956282979,65023.6810112755
"54","b_t",2008,34061.3537522315,19834.500972318,14048.6635795379,70125.3950948063
"55","b_t",2009,32486.3426688961,19484.4209246413,13661.0761641681,69898.7255050932
"56","b_t",2010,27953.9672272888,16959.9914117627,11336.2119460739,57408.1035189875
"57","b_t",2011,28861.919965764,17461.9145882183,11648.4295070916,60089.0071375281
"58","b_t",2012,28470.303861434,17135.8392700844,11604.8781754849,59676.8746789959
"59","b_t",2013,26658.8958914531,16319.6877603284,10932.1436428162,56015.6782328104
"60","b_t",2014,26821.3422189296,15341.3815312932,10858.3951899739,54326.3420497313
"61","b_t",2015,31351.1463296766,19308.4237951115,12694.3732418779,67827.9157202127
"62","b_t",2016,25323.1118863958,16837.0593744095,9203.36337685842,55938.5329852482
"63","b_t",2017,19749.1461626432,14461.973163661,7146.8899423279,45028.3525696638
"64","b_t",2018,13362.7352491231,7426.62210347133,5874.54286173288,26782.4642607625
"65","bmsy",1955,18138.5483302267,8879.08244148092,9037.80211950961,34658.6157297483
"66","ck",1955,0.00659238865992424,0.00259194313931617,0.00288528559165461,0.0110646371623811
"67","ck",1956,0.00329619432996212,0.00129597156965809,0.00144264279582731,0.00553231858119057
"68","ck",1957,0.0131847773198485,0.00518388627863235,0.00577057118330922,0.0221292743247623
"69","ck",1958,0.0230733603097348,0.00907180098760661,0.0100984995707911,0.038726230068334
"70","ck",1959,0.0230733603097348,0.00907180098760661,0.0100984995707911,0.038726230068334
"71","ck",1960,0.0148328744848295,0.00583187206346139,0.00649189258122288,0.0248954336153575
"72","ck",1961,0.026369554639697,0.0103677725572647,0.0115411423666184,0.0442585486495245
"73","ck",1962,0.0230733603097348,0.00907180098760661,0.0100984995707911,0.038726230068334
"74","ck",1963,0.0164809716498106,0.00647985784829043,0.00721321397913653,0.0276615929059528
"75","ck",1964,0.0230733603097348,0.00907180098760661,0.0100984995707911,0.038726230068334
"76","ck",1965,0.026369554639697,0.0103677725572647,0.0115411423666184,0.0442585486495245
"77","ck",1966,0.0329619432996212,0.0129597156965809,0.0144264279582731,0.0553231858119057
"78","ck",1967,0.0494429149494318,0.0194395735448713,0.0216396419374096,0.0829847787178585
"79","ck",1968,0.0329619432996212,0.0129597156965809,0.0144264279582731,0.0553231858119057
"80","ck",1969,0.0329619432996212,0.0129597156965809,0.0144264279582731,0.0553231858119057
"81","ck",1970,0.0296657489696591,0.0116637441269228,0.0129837851624458,0.0497908672307151
"82","ck",1971,0.026369554639697,0.0103677725572647,0.0115411423666184,0.0442585486495245
"83","ck",1972,0.024622571644817,0.00968090762534591,0.01077654168483,0.0413264198014935
"84","ck",1973,0.0383677020007591,0.0150851090708201,0.0167923621434298,0.0643961882850582
"85","ck",1974,0.0635835886249693,0.0249992915787045,0.0278285795315087,0.106718425431166
"86","ck",1975,0.0460148728462712,0.0180917631124269,0.0201392934297492,0.0772311673934203
"87","ck",1976,0.0392906364131485,0.0154479811103244,0.0171963021262615,0.0659452374877915
"88","ck",1977,0.0451578623204811,0.0177548105043158,0.0197642063028341,0.0757927645623108
"89","ck",1978,0.0494099530061322,0.0194266138291747,0.0216252155094513,0.0829294555320466
"90","ck",1979,0.0397521036193432,0.0156294171300765,0.0173982721176773,0.0667197620891582
"91","ck",1980,0.0494429149494318,0.0194395735448713,0.0216396419374096,0.0829847787178585
"92","ck",1981,0.0576834007743371,0.0226795024690165,0.0252462489269779,0.0968155751708349
"93","ck",1982,0.0662535060322386,0.0260490285501275,0.0289971201961289,0.11119960348193
"94","ck",1983,0.0667479351817329,0.0262434242855763,0.029213516615503,0.112029451269109
"95","ck",1984,0.0672753262745269,0.0264507797367215,0.0294443394628353,0.112914622242099
"96","ck",1985,0.0679016031972197,0.0266970143349566,0.0297184415940425,0.113965762772526
"97","ck",1986,0.116124926244566,0.0456570783990544,0.050824305696996,0.194903583615344
"98","ck",1987,0.13484731003875,0.0530181969147123,0.0590185167772951,0.226327153156506
"99","ck",1988,0.0307534930985466,0.0120914147449099,0.0134598572850688,0.051616532362508
"100","ck",1989,0.0504317732484204,0.0198283650157687,0.0220724347761578,0.0846444742922157
"101","ck",1990,0.0477948177844508,0.0187915877600423,0.0209183205394959,0.0802186194272632
"102","ck",1991,0.053859815351581,0.0211761754482131,0.0235727832838182,0.0903980856166538
"103","ck",1992,0.0571560096815432,0.0224721470178712,0.0250154260796455,0.0959304041978444
"104","ck",1993,0.0517172890371057,0.0203337939279354,0.0226350654665304,0.08680207853888
"105","ck",1994,0.0537279675783826,0.0211243365854268,0.0235150775719851,0.0901767928734062
"106","ck",1995,0.0439382704183951,0.0172753010235423,0.019230428468378,0.0737458066872702
"107","ck",1996,0.0470696550318591,0.0185064740147175,0.0206009391244139,0.0790015093394013
"108","ck",1997,0.0447952809441852,0.0176122536316534,0.0196055155952931,0.0751842095183798
"109","ck",1998,0.0551123691969667,0.0216686446446832,0.0241209875462326,0.0925003666775062
"110","ck",1999,0.0439053084750954,0.0172623413078457,0.0192160020404197,0.0736904835014583
"111","ck",2000,0.0627595400424788,0.02467529868629,0.0274679188325519,0.105335345785868
"112","ck",2001,0.0728129327488632,0.0286280119737471,0.0318679793598252,0.1222089174585
"113","ck",2002,0.0662864679755382,0.0260619882658241,0.0290115466240871,0.111254926667742
"114","ck",2003,0.0680004890271186,0.0267358934820463,0.0297617208779173,0.114131732329961
"115","ck",2004,0.0788779303159935,0.031012599661918,0.0345224421041474,0.13238838364789
"116","ck",2005,0.079537169181986,0.0312717939758496,0.0348109706633129,0.133494847364128
"117","ck",2006,0.0808886088572704,0.0318031423194094,0.0354024542096021,0.135763097982416
"118","ck",2007,0.0728458946921629,0.0286409716894437,0.0318824057877835,0.122264240644311
"119","ck",2008,0.0858658622955132,0.0337600593895932,0.0375808448313013,0.144116899040014
"120","ck",2009,0.0778890720170049,0.0306238081910206,0.0340896492653992,0.130728688073533
"121","ck",2010,0.0654953813363473,0.0257509550891062,0.0286653123530886,0.109927170208257
"122","ck",2011,0.0702748631147924,0.0276301138651104,0.0307571444070382,0.117949032150983
"123","ck",2012,0.0656272291095458,0.0258027939518925,0.0287230180649217,0.110148462951504
"124","ck",2013,0.0586722590733257,0.0230682939399139,0.0256790417657261,0.0984752707451921
"125","ck",2014,0.0569582380217454,0.0223943887236917,0.0249288675118959,0.095598465082973
"126","ck",2015,0.0953259400225045,0.0374794977945119,0.0417212296553257,0.159994653368031
"127","ck",2016,0.08849919194572,0.034795411076593,0.0387333721608878,0.148536668354527
"128","ck",2017,0.10545646367621,0.041462536816699,0.0461550480240213,0.176997681295462
"129","ck",2018,0.146383990193618,0.0575540974085156,0.0640677665626907,0.245690268190673
"130","crashed",1955,0,0,0,0
"131","delta",1955,100,0,100,100
"132","dep_t",1955,0.611497583658769,0.0619806262844337,0.51923935995423,0.71600779106014
"133","dep_t",1956,0.283063033347789,0.0635577500255676,0.192422284393133,0.39296750506888
"134","dep_t",1957,0.419004933533041,0.0998981625173209,0.280803766718564,0.595358969723787
"135","dep_t",1958,0.634354930644182,0.164647421915167,0.410795451410812,0.930281811721931
"136","dep_t",1959,0.69345699063329,0.191296755009673,0.439451285665138,1.01668966499703
"137","dep_t",1960,0.592084216657982,0.148284320888219,0.382327302208508,0.846403692298195
