"","variable","year","mean","sd","lower","upper"
"1","b_t",2002,37877.5534496482,66827.9106188045,7037.23415185127,121797.193481832
"2","b_t",2003,45473.0464874437,77858.9924033734,7079.64993544153,165922.228966005
"3","b_t",2004,48768.2916011667,86361.2264955967,8435.57369152262,173591.718850314
"4","b_t",2005,36211.8569837765,68384.7459919371,5591.78455598197,124608.585421924
"5","b_t",2006,27020.3028786622,50357.5932029368,2936.3410728495,93399.7123375015
"6","b_t",2007,17009.7088680662,41763.0641739368,1937.97109605976,64253.7498238012
"7","b_t",2008,5585.80785043207,11769.4787259057,762.643249563109,19013.0290025294
"8","b_t",2009,7730.15169600049,15692.5222614323,980.885805342194,26027.5624982663
"9","b_t",2010,7040.74195708595,13956.7072956509,940.319401771762,25096.3224057956
"10","b_t",2011,9154.10921841391,19016.3210758096,1177.76343959548,30957.4292931757
"11","b_t",2012,8786.25179218183,16508.6545552399,1108.40236678856,32924.885548282
"12","b_t",2013,10283.3196634428,18806.7786905035,1610.20823440396,37445.5718813097
"13","b_t",2014,17793.795580005,30985.2328363115,1947.13575390322,69086.1513815513
"14","b_t",2015,25134.3706118838,46851.3704574612,2609.0200124288,91363.9740371433
"15","b_t",2016,25397.9473422299,46799.2832385188,2952.46403859874,90624.5377587264
"16","b_t",2017,22957.9091149565,45021.4579124362,2705.83564070798,83297.0807577554
"17","b_t",2018,17038.3461288633,29755.7596390017,2847.73081251179,56744.9052827533
"18","bmsy",2002,25047.8654555722,42258.1631854669,4450.22083999051,81328.6491017539
"19","ck",2002,0.0784915455879925,0.0565928912131917,0.00987967455404447,0.180552843371995
"20","ck",2003,0.101496846130584,0.073179855594905,0.0127753352354103,0.233471567222779
"21","ck",2004,0.126113983016924,0.0909289639778848,0.0158738766014579,0.290097972362472
"22","ck",2005,0.0763912739885627,0.0550785823630565,0.0096153148740047,0.175721622298569
"23","ck",2006,0.0647176713777785,0.0466618424750958,0.00814596688494644,0.148869021448596
"24","ck",2007,0.0542651569061977,0.0391255147093068,0.00683031638428339,0.124825270059917
"25","ck",2008,0.0033702032642013,0.00242993745719367,0.000424205067970796,0.00775242451317218
"26","ck",2009,0.0232983616960003,0.0167982632910345,0.00293254807858072,0.0535928477214946
"27","ck",2010,0.0126016295965788,0.00908585310081111,0.00158615808023863,0.0289873264405568
"28","ck",2011,0.0248613545141806,0.0179251908074142,0.00312928086372659,0.0571881750319513
"29","ck",2012,0.0147019011960086,0.0106001619509463,0.0018505177602784,0.033818547513983
"30","ck",2013,0.0163625810653251,0.0117975224370997,0.00205954634449589,0.0376385827813432
"31","ck",2014,0.045668696406206,0.0329274133692186,0.00574828606598107,0.105050969852406
"32","ck",2015,0.0740467847612923,0.053388191088487,0.00932021569628589,0.170328631332884
"33","ck",2016,0.0624220256760762,0.0450066676854132,0.00785701560676343,0.143588384461363
"34","ck",2017,0.0234448922727047,0.0169039127456951,0.00295099177718814,0.0539299096568499
"35","ck",2018,0.0150926494005536,0.0108818938300412,0.00189970095656487,0.0347173793415971
"36","crashed",2002,0,0,0,0
"37","delta",2002,100,0,100,100
"38","dep_t",2002,0.760661032530168,0.0805142368815779,0.646972083787835,0.897680900712932
"39","dep_t",2003,0.913678674522875,0.343323261888388,0.427982556156586,1.49021679576375
"40","dep_t",2004,0.975613461066603,0.377891017875858,0.438885684638799,1.62079599728862
"41","dep_t",2005,0.704014764539637,0.320248790741133,0.310542511172335,1.28990316020876
"42","dep_t",2006,0.522940545155643,0.294563082711902,0.21738791777834,1.04000939171095
"43","dep_t",2007,0.304818088149788,0.238328583289883,0.123019486072486,0.603446126523371
"44","dep_t",2008,0.104775660711716,0.0543667504971338,0.0454733427236198,0.195165937967696
"45","dep_t",2009,0.148748825608013,0.0773148568395398,0.0654132949273017,0.290873722524153
"46","dep_t",2010,0.137532661344552,0.0739858876997704,0.0546112208145267,0.271701813414988
"47","dep_t",2011,0.1714203480875,0.0934054613332985,0.0681677498494606,0.338881557197356
"48","dep_t",2012,0.173051879134329,0.0962796798517016,0.0677428449162041,0.340329431119532
"49","dep_t",2013,0.212501585159438,0.10718570992037,0.0880975202159242,0.404189310643472
"50","dep_t",2014,0.35798193200459,0.200712065794039,0.144821444805234,0.722189571572034
