"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,101301.623482767,45104.837368544,55752.2454946129,178508.757444481
"2","b_t",1952,100957.497590084,50700.1269284377,49856.181913804,192833.602460443
"3","b_t",1953,92649.4881960624,47976.3689070681,44811.0644113867,174054.232502095
"4","b_t",1954,92970.6917007881,48598.539451467,45095.1717930681,177914.503520171
"5","b_t",1955,88111.1191369258,47370.7570555516,42493.4963371018,166658.551782091
"6","b_t",1956,101987.137114331,54230.1228598207,49379.3634708165,187650.222035644
"7","b_t",1957,135023.075521261,70233.1357890311,65905.879751995,256570.406815267
"8","b_t",1958,150869.083826114,78716.9071471946,70982.5991024099,286480.605930974
"9","b_t",1959,153032.80278523,77115.2236898223,75990.7397044058,284711.451563088
"10","b_t",1960,161043.0656183,84079.8592518651,78171.272274478,304731.58626364
"11","b_t",1961,157001.435690204,78538.7659513499,76703.3056281947,293369.255567784
"12","b_t",1962,199930.858419697,98508.6780992226,97674.4387301862,377302.376289971
"13","b_t",1963,205844.953061657,105308.312004027,100749.437445555,383211.617017126
"14","b_t",1964,192630.447145199,97437.6668012515,93897.7659771933,365037.063550035
"15","b_t",1965,141175.429505079,75165.5040445645,67862.6913844895,270443.442719389
"16","b_t",1966,107356.86930953,57869.1524584904,52519.9729281138,202895.75793374
"17","b_t",1967,96263.1585444302,50125.4595469809,47454.0051183068,181511.858770781
"18","b_t",1968,70399.3594597844,37760.362363024,33039.9193432802,139706.617121905
"19","b_t",1969,52251.3486084785,28326.4773752949,24319.0767648449,103880.380638155
"20","b_t",1970,35800.6786126458,19605.7219882312,17025.5661889159,69070.1495529769
"21","b_t",1971,36482.5205724101,19337.7420628827,17510.3376328695,68375.1633558279
"22","b_t",1972,58576.4504215471,31025.9671404855,28142.8436889897,110769.342867664
"23","b_t",1973,69182.9029146944,37036.1462755546,32550.5272530241,131633.16655247
"24","b_t",1974,59327.022639062,32437.947722526,27881.735358314,114338.18292355
"25","b_t",1975,48953.5792996536,26306.2184587008,23256.4375369239,94109.863470023
"26","b_t",1976,48103.5726097031,26310.713213184,22745.8091166397,91381.527251755
"27","b_t",1977,47393.5326773984,25299.4861089269,22733.3608145816,88567.281540142
"28","b_t",1978,52114.595336565,27597.2053185749,24306.0144480472,100628.985824217
"29","b_t",1979,60287.9518654356,31973.1846273898,28385.373033674,113510.557456174
"30","b_t",1980,64862.6682768651,34179.2708522988,31107.5457294108,122587.578671253
"31","b_t",1981,64704.949741578,35141.0705944271,31781.7032797281,125768.315090464
"32","b_t",1982,68627.3765933451,35607.591568732,33448.8651301786,133280.631691618
"33","b_t",1983,93410.4180931007,48250.4781950274,46304.8786640325,177636.760416343
"34","b_t",1984,108959.571089615,57031.9624647336,53132.2244965372,204986.641684791
"35","b_t",1985,115357.470363155,62406.6590197661,55076.6051790522,216165.457100039
"36","b_t",1986,100510.443037966,51887.6890609067,48760.0555410327,189625.944177718
"37","b_t",1987,104471.39777328,54191.2620543095,51369.2559705523,198616.678239948
"38","b_t",1988,110082.911954705,56314.3269382116,53326.2760687042,203473.133982625
"39","b_t",1989,128778.923857086,67750.5611749096,63058.4970875066,243984.107900975
"40","b_t",1990,113072.708461439,58759.1675463965,55672.4284332472,212864.792577215
"41","b_t",1991,91588.5624705261,48441.4794521957,44718.9091238972,173344.694658115
"42","b_t",1992,94468.1126680994,48180.8953129801,46424.383778547,176577.860692865
"43","b_t",1993,101301.414213932,50895.9951795404,50238.3337844812,191063.361857398
"44","b_t",1994,103912.659298858,54229.8186486689,50958.9662449462,198909.125382062
"45","b_t",1995,97349.0392388623,51322.2376915369,46907.2758695162,188687.314543744
"46","b_t",1996,91878.7440771681,49011.2351084835,44257.0954624311,174638.886632005
"47","b_t",1997,110438.067817048,58320.1033832527,53434.2223232418,213004.496192734
"48","b_t",1998,111898.775263391,57191.3528417954,55367.3070662048,204796.304006487
"49","b_t",1999,110597.949486717,56740.5845119805,54337.0565782196,205305.621867684
"50","b_t",2000,107027.880959939,55681.5078252697,52124.7885996563,201523.583559048
"51","b_t",2001,105699.819361838,54707.6266104006,52833.4752226853,199943.101589522
"52","b_t",2002,121127.945199671,62689.5659747896,58776.5846335616,229395.574555788
"53","b_t",2003,119770.789242185,62263.9508808505,58041.8098277446,229455.573507835
"54","b_t",2004,120904.040280887,60873.0872397219,58292.5337833847,224361.45068624
"55","b_t",2005,119448.038535208,63206.4878375063,57672.758129719,223589.251201894
"56","b_t",2006,101885.152207417,53877.5341156811,49348.6378192362,194382.786064001
"57","b_t",2007,92297.346944155,48606.8385713838,45331.3249239337,176627.080051434
"58","b_t",2008,125958.39088787,64586.2732729007,62968.8627774593,234659.453317729
"59","b_t",2009,135100.071870605,69455.3731030195,67393.6385461247,252534.17857343
"60","b_t",2010,127593.951997856,66218.4626684183,62935.1865252192,243337.954449203
"61","b_t",2011,129007.154633531,67423.6311346703,62805.3807630906,245098.530710309
"62","b_t",2012,113209.103375483,59544.5212210426,56027.2084811623,213616.031177256
"63","b_t",2013,101369.49293957,53239.1715383212,48903.1193831498,190071.877457717
"64","b_t",2014,101886.764557008,53231.5192739427,50117.7973293621,190251.429971868
"65","b_t",2015,93650.6291627814,48366.3141856952,46133.6604279741,177535.225826853
"66","b_t",2016,80880.136143003,43298.0527043119,38882.1678608541,154930.218323769
"67","b_t",2017,67169.2068684394,34972.1502217864,32636.859267017,125108.680611866
"68","b_t",2018,53649.4955923791,26586.434439942,27281.6300506229,98906.9602143184
"69","bmsy",1951,71823.940778816,30344.7638938136,41606.4746315547,124002.025694791
"70","ck",1951,0.0204571739717015,0.00645731509420223,0.0104837049985225,0.0312451384059713
"71","ck",1952,0.0204571739717015,0.00645731509420223,0.0104837049985225,0.0312451384059713
"72","ck",1953,0.0220308027387555,0.00695403163991009,0.0112901438445627,0.033648610591046
"73","ck",1954,0.0275385034234444,0.00869253954988762,0.0141126798057034,0.0420607632388075
"74","ck",1955,0.0283253178069714,0.00894089782274155,0.0145158992287235,0.0432624993313448
"75","ck",1956,0.0291121321904984,0.00918925609559548,0.0149191186517436,0.0444642354238822
"76","ck",1957,0.0487824917786729,0.0153982129169438,0.0249996042272461,0.0745076377373161
"77","ck",1958,0.0479956773951459,0.0151498546440898,0.024596384804226,0.0733059016447787
"78","ck",1959,0.045635234244565,0.014404779825528,0.0233867265351657,0.0697006933671667
"79","ck",1960,0.0511429349292539,0.0161432877355056,0.0262092624963064,0.0781128460149281
"80","ck",1961,0.0684528513668475,0.0216071697382921,0.0350800898027485,0.10455104005075
"81","ck",1962,0.0645187794492126,0.0203653783740224,0.033063992687648,0.0985423595880632
"82","ck",1963,0.0653055938327396,0.0206137366468763,0.0334672121106681,0.0997440956806005
"83","ck",1964,0.0629451506821586,0.0198686618283146,0.0322575538416078,0.0961388874029885
"84","ck",1965,0.047208863011619,0.0149014963712359,0.0241931653812059,0.0721041655522414
"85","ck",1966,0.0346198328751872,0.010927764005573,0.0177416546128843,0.0528763880716437
"86","ck",1967,0.0393407191763491,0.0124179136426966,0.0201609711510049,0.0600868046268678
"87","ck",1968,0.0267516890399174,0.00844418127703368,0.0137094603826833,0.0408590271462701
"88","ck",1969,0.0180967308211206,0.00571224027564043,0.00927404672946225,0.0276399301283592
"89","ck",1970,0.00772651724623497,0.00243887823942561,0.00395961473405736,0.0118010484287168
"90","ck",1971,0.00754554993802376,0.00238175583666921,0.00386687426676274,0.0115246491274332
"91","ck",1972,0.0209686033209941,0.00661874797155729,0.0107457976234856,0.0320262668661205
"92","ck",1973,0.0207168227182654,0.00653927332424403,0.0106167674081192,0.0316417113165086
"93","ck",1974,0.0183170388485082,0.00578178059203953,0.00938694816790788,0.0279764162342696
"94","ck",1975,0.0142256040541678,0.00449031757319909,0.00729020716820337,0.0217273885530754
"95","ck",1976,0.0170266632595239,0.00537447302455909,0.00872566831415491,0.0260055690425084
"96","ck",1977,0.01370630656104,0.00432640111311549,0.0070240823490101,0.0209342427320007
"97","ck",1978,0.0171053446978766,0.00539930885184448,0.00876599025645692,0.0261257426517621
"98","ck",1979,0.022015066451085,0.00694906447445301,0.0112820794561023,0.0336245758691952
"99","ck",1980,0.025602940039968,0.00808157819866694,0.013120760025074,0.0391044924511656
"100","ck",1981,0.024902675238629,0.00786053933582694,0.0127618947385861,0.0380349473288073
"101","ck",1982,0.023793266957856,0.0075103541711029,0.0121933553521278,0.0363404994383296
"102","ck",1983,0.0535191143675054,0.0168933297195244,0.027426985153827,0.081742089014391
"103","ck",1984,0.0620324459972673,0.019580566231804,0.0317898193109045,0.0947448735356452
"104","ck",1985,0.0748181797295808,0.0236163881656804,0.0383421349349811,0.114273085039377
"105","ck",1986,0.0538023675455751,0.0169827386977519,0.0275721441461143,0.0821747140077044
"106","ck",1987,0.0683269610654832,0.0215674324146354,0.0350155746950653,0.104358762275944
"107","ck",1988,0.0803888255649518,0.0253747647374862,0.0411969284499634,0.122781376574542
"108","ck",1989,0.104748598878947,0.033063936865044,0.0536806017866656,0.159987125999498
"109","ck",1990,0.0891618059412777,0.0281439594798076,0.0456928250166375,0.136180734006333
"110","ck",1991,0.0603014543535079,0.0190341780315253,0.0309027365802603,0.092101054132063
"111","ck",1992,0.0683348292093184,0.021569915997364,0.0350196068892955,0.104370779636869
