"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,92564.3237526796,17507.7842516588,68188.1176660229,122133.518457347
"2","b_t",1952,95737.5545126382,20587.4015182992,66720.6908249532,130812.346461521
"3","b_t",1953,83418.3058924497,17918.3887264323,59002.1664640093,114625.377848519
"4","b_t",1954,72310.1297553297,15352.9412018062,51181.4539164938,99154.5724852895
"5","b_t",1955,66099.5100040428,14540.0381918773,46698.6995423287,88943.3150575629
"6","b_t",1956,73181.2590357616,15131.0638237881,53016.5367715436,100421.319450969
"7","b_t",1957,82809.643260174,17545.794172698,58598.1051333455,112161.799276217
"8","b_t",1958,90228.6496083063,19551.8567768158,64297.392435194,123139.861466581
"9","b_t",1959,88700.915590585,19129.603584721,62297.3254023906,121859.908386895
"10","b_t",1960,83376.8141010129,17986.6637126247,58698.3645699118,114827.421857357
"11","b_t",1961,74124.3489616685,15601.9636088979,53435.8368263643,101078.559251046
"12","b_t",1962,78488.8920689904,16763.3111968569,55558.4101757928,107367.551734076
"13","b_t",1963,81270.3386124094,17168.099815278,57809.2250712589,111090.988648959
"14","b_t",1964,87694.9615749296,19268.5642095072,62261.3542493521,120865.876170922
"15","b_t",1965,77089.8944076068,16852.6785457063,54298.5120824285,106171.901382393
"16","b_t",1966,67290.8708072157,14407.9325189264,47319.6081847613,92163.2122266848
"17","b_t",1967,64435.5628483314,13458.8151215449,46588.9538454619,86929.0096073053
"18","b_t",1968,62817.9909301178,13562.3258250585,44667.5919323392,85693.2411265689
"19","b_t",1969,67056.3987334701,14307.5627438574,47923.9724502102,91464.6408955094
"20","b_t",1970,71522.5784041633,15398.0195233636,50029.6522346535,99402.4471903079
"21","b_t",1971,73549.4390312297,15733.2812365819,51655.8654651456,99811.6656103591
"22","b_t",1972,84936.1814616094,18288.3081003832,60439.5539968721,115793.8901848
"23","b_t",1973,102786.503918415,22019.6524422101,73795.089961741,140788.191565545
"24","b_t",1974,98812.8803091425,20883.4003066227,70099.1230143925,134838.573213931
"25","b_t",1975,91935.4281206734,19549.012369176,65414.0458058395,124579.442607598
"26","b_t",1976,84418.7568685645,18290.1032449131,59410.7646642698,116360.260925626
"27","b_t",1977,88067.9392075513,19387.6967339976,62049.8116275795,122561.588230966
"28","b_t",1978,83211.2349547371,18089.98133816,59108.0347019905,115802.436254337
"29","b_t",1979,78178.3348287329,16829.2059050503,54929.7215159973,107320.31257437
"30","b_t",1980,76955.034857755,16540.5188564694,54639.4339579156,106262.853720258
"31","b_t",1981,78632.0244694348,16493.0183087766,56314.6510347507,106256.737985983
"32","b_t",1982,81274.9213508828,16895.8131835239,58638.5492124632,110374.107398955
"33","b_t",1983,88780.3475440217,18258.8443163173,64701.2130109307,119423.382602334
"34","b_t",1984,103872.622866429,21511.6286845502,76242.3179244966,141913.399773101
"35","b_t",1985,104489.260651881,21564.6145805642,74616.5640450366,142403.03863133
"36","b_t",1986,89564.7789018097,18660.3119774288,63680.8988267018,121277.189192229
"37","b_t",1987,77844.9725300966,16156.2034519425,55485.2270303539,105889.680898058
"38","b_t",1988,75273.9083506609,15428.1745020981,54337.6625794914,101352.954018011
"39","b_t",1989,74797.101309411,15141.2033965037,54488.337621526,99214.6624320132
"40","b_t",1990,90802.2200811451,17805.5740614501,68072.5573748736,121133.362484389
"41","b_t",1991,82674.1746993562,16766.0089668425,60407.5164136293,111913.847704528
"42","b_t",1992,73796.6790881161,15219.7614796552,53883.6169719376,99967.7396053907
"43","b_t",1993,58669.8997950626,12227.7301521972,42415.2097975678,80159.477954672
"44","b_t",1994,55706.4403317858,11500.5241395022,40264.7681483135,75841.5454137378
"45","b_t",1995,45496.4601510416,9386.5616388091,32970.9358766696,62126.0496289796
"46","b_t",1996,41690.8113135073,8659.92558133418,30419.0662375694,56978.4638465484
"47","b_t",1997,44194.100175687,9112.12275224481,31933.7726235765,59409.0647203507
"48","b_t",1998,40677.1026896971,8244.89846148391,29522.8815418433,54748.8875116585
"49","b_t",1999,45149.4271390911,9374.99915993492,32398.0977091854,60839.2247437409
"50","b_t",2000,52608.6301556367,10774.1729874275,38471.5268825394,70688.3211547468
"51","b_t",2001,49913.4008441563,9827.01690282375,36994.9086447325,67545.8431633109
"52","b_t",2002,48087.9416144598,9557.92823470333,35596.26050358,64403.8220640437
"53","b_t",2003,45529.6296969592,9353.02998997691,32690.5921710331,61441.7656066079
"54","b_t",2004,46798.5093871026,9606.69766402171,33884.9568963664,62771.0405640738
"55","b_t",2005,64397.8300628557,12512.3856891311,47996.183812195,85021.2821795692
"56","b_t",2006,64789.5275571916,13057.9480145083,47797.7470366917,86385.4291726268
"57","b_t",2007,55656.3307278954,11131.0856483766,41015.7629818028,74686.7090332775
"58","b_t",2008,57389.7998302338,11496.6107256657,41955.9330835291,76788.3512270674
"59","b_t",2009,61283.557232957,12188.0061844798,45194.9008745347,82334.7979982828
"60","b_t",2010,58393.6145929191,11509.7823024674,42908.7519566736,78488.5399229108
"61","b_t",2011,59544.4426424232,11943.235231549,43682.856627039,80428.0853686867
"62","b_t",2012,62540.5892830774,12340.0260286921,46263.9297663173,83246.2309212046
"63","b_t",2013,63978.4251774581,12661.4344400339,47349.8703159177,85812.5476011523
"64","b_t",2014,64090.9340861517,12552.3191904916,47289.2919140846,85144.0203919032
