"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,77692.5842842598,38627.9799431035,35431.6505040022,147245.533650829
"2","b_t",1952,23798.8869431269,13986.7473537422,8790.04818603446,48932.3480503945
"3","b_t",1953,14464.1283540016,8926.05560409113,5138.34074300236,30998.7411502207
"4","b_t",1954,13329.2071901463,8115.36435140513,4802.77262176705,28476.2114042406
"5","b_t",1955,18612.0190864977,11259.8463026679,6591.138736146,38666.9258083628
"6","b_t",1956,24372.0928685712,14749.5238614762,8681.30098978894,51317.4860000343
"7","b_t",1957,24920.6247296854,14939.7743734111,8902.44176868685,53663.0040305397
"8","b_t",1958,26314.7073048403,16134.5672393118,9423.29964630694,53664.522059653
"9","b_t",1959,28133.0472089157,16924.8178555013,10335.668793973,58531.003225762
"10","b_t",1960,31394.9525149031,19511.4110295817,11025.4392912709,65996.8013396556
"11","b_t",1961,31451.250534694,19486.2564545865,11227.4324183641,66260.2830043477
"12","b_t",1962,46942.8953682032,28638.4038327062,17274.2600974153,98182.3522953795
"13","b_t",1963,50644.1161016033,32716.0263749038,17195.0496353329,106664.09464918
"14","b_t",1964,52150.9387749082,32958.0326592383,18269.0566590512,111219.781175955
"15","b_t",1965,53037.2411838528,32112.3986931813,19125.4107013366,112361.779101663
"16","b_t",1966,42361.4684284998,26970.7373928748,14908.522028157,91437.3789673672
"17","b_t",1967,38675.6237325969,24602.9455732268,14136.8179380363,80977.7144386204
"18","b_t",1968,38906.1320156179,23496.7594801081,14201.4054785626,82071.4817681354
"19","b_t",1969,37575.0352601154,23553.8172168659,13202.7232761419,79816.5230957003
"20","b_t",1970,42876.3676249431,26546.5859988312,15085.8161195162,89908.155877592
"21","b_t",1971,47519.2650650415,28201.564681159,17745.1717252458,98906.8575749616
"22","b_t",1972,62642.3492160479,37626.0670676586,22223.0431083422,134704.476948503
"23","b_t",1973,73340.3574530974,45695.3086210366,25471.1747363893,150351.867210723
"24","b_t",1974,77779.2720576464,48013.0888937013,27372.8654233105,158804.206497786
"25","b_t",1975,79320.1152855444,47656.2685813054,28367.2847443244,168807.61078305
"26","b_t",1976,77366.9287604809,45975.2325653021,28801.3067743525,159987.980474032
"27","b_t",1977,73309.1863615408,44513.6384019109,27155.1444920434,157049.163838812
"28","b_t",1978,76112.6255756937,46493.2057391053,26753.2397087081,156925.014083441
"29","b_t",1979,67442.4860036894,41506.481803686,24213.5171152371,136187.785911052
"30","b_t",1980,83265.065388808,50473.871414159,30114.3677278974,172330.18537849
"31","b_t",1981,87143.554159252,52434.6525213729,31645.5683301672,186657.786279303
"32","b_t",1982,113909.221997709,69780.4219794962,41565.5667310954,240722.747830679
"33","b_t",1983,141739.612185957,87342.2580171403,49371.1713827748,303987.468364147
"34","b_t",1984,121383.836283337,74321.9221029019,42617.0474828871,263037.349786726
"35","b_t",1985,110064.072586467,64878.194839693,39861.7732856583,227940.153996736
"36","b_t",1986,130361.506685765,76942.8135518993,47216.9750304829,271967.146080118
"37","b_t",1987,136528.134104038,84647.9623593895,49045.4355915244,271179.755068929
"38","b_t",1988,118926.83637912,74795.4853456961,42396.4612313476,248553.033657754
"39","b_t",1989,89019.8265729525,55129.9851180912,32366.0240880155,192261.309872138
"40","b_t",1990,72760.4695826947,45318.9818047997,25659.0978102031,154670.387629593
"41","b_t",1991,59462.5256306241,35046.1935990796,21216.7179064166,126582.579711408
"42","b_t",1992,68412.0333123692,41508.0332805619,25137.0135561886,143878.083274486
"43","b_t",1993,79580.3275239521,50703.6513911055,27953.2074618175,169632.283204529
"44","b_t",1994,101946.95029106,62578.1059110161,37313.546923573,210857.435562845
"45","b_t",1995,128726.194357259,78283.5295379391,47094.2590342869,266387.506586868
"46","b_t",1996,130941.475554289,77501.1981742965,50999.5638106299,265786.305889811
"47","b_t",1997,162579.058419231,95863.6501592171,59559.0050113026,334718.729700973
"48","b_t",1998,154299.483149487,90114.2862734102,56004.7434632503,321452.21758032
"49","b_t",1999,164606.910063199,98587.1910625726,61487.887883154,332922.425723939
"50","b_t",2000,184149.46534752,106189.952464974,69808.7966182088,374516.688305216
"51","b_t",2001,148143.25570426,87823.7443820246,54514.8245799282,307955.719005734
"52","b_t",2002,142661.341140045,81998.3382489107,52486.8453364382,299364.57089645
"53","b_t",2003,143980.122461264,83438.7475140081,52896.7702129119,293824.865867323
"54","b_t",2004,163224.924211585,95491.1353081656,61534.9493751885,332434.079435907
"55","b_t",2005,172107.384995337,100582.821658108,62408.8610183528,354480.961082151
"56","b_t",2006,167012.417577003,96715.1397355199,62470.1741736032,340823.052262799
"57","b_t",2007,148770.726711225,85685.2640162099,56775.9553277742,319200.768464912
"58","b_t",2008,138725.621197006,81116.0200853147,51292.4561506516,286777.668540011
"59","b_t",2009,146762.242594138,86229.8628581409,55792.8590293281,300030.57725473
"60","b_t",2010,146763.463817467,89518.3101816453,52483.9937941887,309100.190849078
"61","b_t",2011,152940.154574433,90226.6646803564,56321.1525453431,316564.162050422
"62","b_t",2012,154103.697366337,89864.7491300358,57528.8509707393,322954.726784218
"63","b_t",2013,160374.546141805,96120.8868932267,60461.1273809558,327843.98047682
"64","b_t",2014,161403.760758687,98673.1557357669,59187.5419012451,333788.59478131
"65","b_t",2015,162366.45182348,103955.106198105,57915.8423716954,350023.2820223
"66","b_t",2016,107518.688571942,88699.8752326708,29666.1763437729,253061.341109792
"67","b_t",2017,69559.6231057539,54931.3176588182,21425.4044759321,156549.078868288
"68","b_t",2018,43573.2135699959,22448.0979927458,18339.8567817721,83285.2712536068
"69","bmsy",1951,61914.6506541578,29686.7564884279,28956.566567946,115233.49276071
"70","ck",1951,0.000974175731847125,0.000413872458809999,0.000433901633617468,0.00172672434485469
"71","ck",1952,0.000974175731847125,0.000413872458809999,0.000433901633617468,0.00172672434485469
"72","ck",1953,0.000974175731847125,0.000413872458809999,0.000433901633617468,0.00172672434485469
"73","ck",1954,0.000974175731847125,0.000413872458809999,0.000433901633617468,0.00172672434485469
"74","ck",1955,0.00292252719554138,0.00124161737643,0.00130170490085241,0.00518017303456408
"75","ck",1956,0.0038967029273885,0.00165548983524,0.00173560653446987,0.00690689737941878
"76","ck",1957,0.00292252719554138,0.00124161737643,0.00130170490085241,0.00518017303456408
"77","ck",1958,0.00292252719554138,0.00124161737643,0.00130170490085241,0.00518017303456408
"78","ck",1959,0.00292252719554138,0.00124161737643,0.00130170490085241,0.00518017303456408
"79","ck",1960,0.0038967029273885,0.00165548983524,0.00173560653446987,0.00690689737941878
"80","ck",1961,0.0038967029273885,0.00165548983524,0.00173560653446987,0.00690689737941878
"81","ck",1962,0.00584505439108275,0.00248323475285999,0.00260340980170481,0.0103603460691282
"82","ck",1963,0.00487087865923563,0.00206936229404999,0.00216950816808734,0.00863362172427347
"83","ck",1964,0.00487087865923563,0.00206936229404999,0.00216950816808734,0.00863362172427347
"84","ck",1965,0.007793405854777,0.00331097967047999,0.00347121306893975,0.0138137947588376
"85","ck",1966,0.00487087865923563,0.00206936229404999,0.00216950816808734,0.00863362172427347
"86","ck",1967,0.00487087865923563,0.00206936229404999,0.00216950816808734,0.00863362172427347
"87","ck",1968,0.00584505439108275,0.00248323475285999,0.00260340980170481,0.0103603460691282
"88","ck",1969,0.0038967029273885,0.00165548983524,0.00173560653446987,0.00690689737941878
"89","ck",1970,0.0049488127177834,0.00210247209075479,0.00220422029877674,0.00877175967186185
"90","ck",1971,0.00490984568850951,0.00208591719240239,0.00218686423343204,0.00870269069806766
"91","ck",1972,0.00752063664985981,0.00319509538201319,0.00334972061152686,0.0133303119422782
"92","ck",1973,0.00674129606438211,0.00286399741496519,0.00300259930463288,0.0119489324663945
"93","ck",1974,0.00953718041478336,0.00405181137174989,0.00424789699311502,0.0169046313361275
"94","ck",1975,0.0103652297868534,0.00440360296173839,0.00461671338168986,0.0183723470292539
"95","ck",1976,0.0111640538869681,0.00474297837796259,0.00497251272125619,0.0197882609920348
"96","ck",1977,0.00832920250729292,0.00353860952282549,0.00370985896742935,0.0147634931485076
"97","ck",1978,0.0110276692845095,0.00468503623372919,0.00491176649254974,0.0195465195837551
"98","ck",1979,0.00716019162907637,0.00304196257225349,0.00318917700708839,0.012691423934682
"99","ck",1980,0.0135020756434012,0.00573627227910659,0.00601387664193811,0.0239323994196861
"100","ck",1981,0.0117680428407133,0.00499957930242479,0.00524153173409902,0.0208588300858447
"101","ck",1982,0.0204966573980635,0.00870787653336238,0.00912929037131154,0.0363302802157428
"102","ck",1983,0.0382461392323181,0.0162486327328806,0.0170349781358218,0.0677911977789953
"103","ck",1984,0.0258935909524966,0.0110007299551698,0.0115331054215523,0.0458963330862378
"104","ck",1985,0.0219968880251081,0.00934524011992978,0.00979749888708244,0.038989435706819
"105","ck",1986,0.0343786615768851,0.0146055590714049,0.0153123886503605,0.0609361021299222
"106","ck",1987,0.0429221827451843,0.0182352205351686,0.0191177059771857,0.0760794746342978
"107","ck",1988,0.0426201882683117,0.0181069200729375,0.0189831964707642,0.0755441900873929
"108","ck",1989,0.0231561571460062,0.00983774834591367,0.0103138418310872,0.0410442376771961
"109","ck",1990,0.0200777618333693,0.00852991137607408,0.00894271266885602,0.0355877887474552
"110","ck",1991,0.0136482020031782,0.00579835314792808,0.00607896188698073,0.0241914080714143
"111","ck",1992,0.0204674321261081,0.00869546035959808,0.00911627332230301,0.0362784784853971
"112","ck",1993,0.0222112066861145,0.00943629206086798,0.00989295724647828,0.039369315062687
"113","ck",1994,0.0285530907004392,0.0121306017677211,0.012717656881328,0.0506102905476911
"114","ck",1995,0.0438768749623945,0.0186408155448024,0.0195429295781308,0.0777716644922554
"115","ck",1996,0.0426688970549041,0.018127613695878,0.0190048915524451,0.0756305263046356
"116","ck",1997,0.0582362252498212,0.0247412955876617,0.0259386396576523,0.103223581335414
"117","ck",1998,0.0531705114442161,0.0225891588018497,0.0236823511628414,0.0942446147421692
"118","ck",1999,0.057963456044904,0.0246254112991949,0.0258171472002394,0.102740098518854
"119","ck",2000,0.0749335972936809,0.0318350695316651,0.0333757136578557,0.132819636606223
"120","ck",2001,0.0482314404837512,0.020490825435683,0.0214824698804009,0.0854901223137559
"121","ck",2002,0.0407108038338914,0.0172957300536699,0.018132749268874,0.0721598103714777
"122","ck",2003,0.0455427154638531,0.0193485374493675,0.0202849013716166,0.080724363121957
"123","ck",2004,0.0574861099362989,0.024422613794378,0.0256045353997668,0.101894003589876
"124","ck",2005,0.0648995872556555,0.0275721832059221,0.0289065268315957,0.11503437585422
"125","ck",2006,0.06251285671263,0.0265581956818376,0.0278434678292329,0.110803901209326
"126","ck",2007,0.0641786972140886,0.0272659175864027,0.0285854396227188,0.113756599839027
"127","ck",2008,0.0463512813212862,0.0196920515901797,0.0206450397275191,0.0821575443281864
"128","ck",2009,0.0528198081807511,0.0224401647166781,0.0235261465747391,0.0936229939780215
"129","ck",2010,0.0604476041611141,0.0256807860691604,0.0269235963659639,0.107143245598234
"130","ck",2011,0.0624641479260377,0.0265375020588971,0.0278217727475521,0.110717564992083
"131","ck",2012,0.0575543022375282,0.0244515848664947,0.02563490851412,0.102014874294015
"132","ck",2013,0.0666531035729803,0.0283171536317801,0.0296875497721072,0.118142479674958
"133","ck",2014,0.0658250542009103,0.0279653620417916,0.0293187333835323,0.116674763981832
"134","ck",2015,0.0780801849075471,0.0331718775736214,0.0347772159344401,0.138396956240104
