"","variable","year","mean","sd","lower","upper"
"1","b_t",2008,978.399859137358,1917.05286510004,243.469739319801,2722.9778780308
"2","b_t",2009,1122.19290398958,2425.09370731345,236.116791974737,3255.82310448761
"3","b_t",2010,1162.23802166677,2644.33309696097,223.5833466959,3291.0838275521
"4","b_t",2011,813.935004800843,2120.01124128809,151.280356293022,2395.6953275747
"5","b_t",2012,1243.89009900485,3035.72547811381,262.458001617542,3340.32275630501
"6","b_t",2013,1413.77282636284,2564.04580000163,285.059873375682,3915.23808652288
"7","b_t",2014,1315.14231886551,3565.63500031559,255.108858408671,3599.5605945225
"8","b_t",2015,1386.32617615964,2661.30746288475,264.969847449241,3969.09500527913
"9","b_t",2016,1104.0095907736,4294.53521656009,184.66960872715,3401.18888832612
"10","b_t",2017,734.163937989529,1344.70684016187,122.10185317282,2157.91895442754
"11","b_t",2018,493.718254214329,980.130801540822,113.073933041676,1399.98279349431
"12","bmsy",2008,670.040935336393,1277.07633597327,176.7360514238,1869.4556736641
"13","ck",2008,0.0511047753284184,0.0306367962031546,0.00989593732947815,0.104675947695449
"14","ck",2009,0.0801101883526559,0.0480252481022423,0.0155125504083712,0.164086620711785
"15","ck",2010,0.114640441952939,0.0687257860773468,0.0221989945499104,0.234813612397899
"16","ck",2011,0.0372926738883053,0.0223565810131128,0.00722135967286243,0.0763851510210034
"17","ck",2012,0.110496811520905,0.0662417215203342,0.0213966212529257,0.226326373395566
"18","ck",2013,0.138121014401131,0.0828021519004178,0.0267457765661572,0.282907966744457
"19","ck",2014,0.103590760800848,0.0621016139253133,0.0200593324246179,0.212180975058343
"20","ck",2015,0.135358594113108,0.0811461088624094,0.026210861034834,0.277249807409568
"21","ck",2016,0.1588391665613,0.0952224746854804,0.0307576430510807,0.325344161756126
"22","ck",2017,0.0801101883526559,0.0480252481022423,0.0155125504083712,0.164086620711785
"23","ck",2018,0.628450615525145,0.376749791146901,0.121693283376015,1.28723124868728
"24","crashed",2008,0,0,0,0
"25","delta",2008,100,0,100,100
"26","dep_t",2008,0.726426070104975,0.0739082456125386,0.614325280839987,0.850850110709718
"27","dep_t",2009,0.802253090776806,0.219092780412818,0.500439110230202,1.18321111789076
"28","dep_t",2010,0.821341192455904,0.26211621197788,0.483451415436078,1.2963673051574
"29","dep_t",2011,0.567930453850737,0.157633899274753,0.342876599327419,0.839870042510931
"30","dep_t",2012,0.897056552060001,0.249592744032831,0.539256694001055,1.336258830982
"31","dep_t",2013,1.02381085284179,0.272088247184434,0.627722108581904,1.47334332170869
"32","dep_t",2014,0.925788939937307,0.256979677311736,0.562855228990086,1.36267173307277
"33","dep_t",2015,0.976418595378302,0.300794068758512,0.573581421078691,1.49757483816294
"34","dep_t",2016,0.724639554501329,0.326608948534352,0.367777296064531,1.3532618915705
"35","dep_t",2017,0.495193797657096,0.242326623644984,0.265194605500765,0.853218409668885
"36","dep_t",2018,0.359945406330041,0.0636421885530113,0.267783204233064,0.465377973159062
"37","growth_t",2008,0.129694000973548,0.0352397655488045,0.075325769851135,0.186648682273966
"38","growth_t",2009,0.0747830790642575,0.124214999585154,-0.143705612866007,0.19032380765605
"39","growth_t",2010,0.0520581712618917,0.180668758255964,-0.255586713778423,0.189674830080621
"40","growth_t",2011,0.148406697422928,0.0466354871924529,0.0781176100165512,0.212424546457802
"41","growth_t",2012,0.0223777862279131,0.166420732617029,-0.289262503794506,0.180665694052766
"42","growth_t",2013,-0.0610233222762539,0.215841825938167,-0.477678476350416,0.160434857943417
"43","growth_t",2014,0.00595281004864159,0.179271070313635,-0.321221108264318,0.178021503231936
"44","growth_t",2015,-0.0433296419833148,0.261585282153905,-0.490631326223194,0.173016867358575
"45","growth_t",2016,0.0601614527072184,0.259986028867936,-0.310742863974721,0.203955753518251
"46","growth_t",2017,0.126911477535427,0.160143443207153,0.0758229072829783,0.206748144939496
